Multiplier,Algorithm,Assigned,Avg Load,Stddev,Variance,Max Load,Jain Index,Imbalance Ratio,Avg Attempts,Avg Hashes,Avg Insertion Time
0.5,fixed_ch,381,15.24,11.22240615910866,125.9424,30,0.6484020100502512,1.968503937007874,0.905511811023622,1.905511811023622,2.0656685816647187e-06
0.5,fixed_rj,381,15.24,10.51201217655307,110.5024,30,0.6776099894970241,1.968503937007874,2.068241469816273,2.068241469816273,4.185153430528215e-06
0.5,dynamic_rj,381,15.24,2.5342454498331453,6.4224,16,0.9730920060331825,1.0498687664041995,50.0,50.0,8.240334318065893e-05
0.75,fixed_ch,572,22.88,10.277431585761104,105.6256,30,0.8321057985757884,1.3111888111888113,2.199300699300699,3.199300699300699,2.550912070107627e-06
0.75,fixed_rj,572,22.88,10.112645549014363,102.2656,30,0.836573766300179,1.3111888111888113,3.945804195804196,3.945804195804196,8.039124362118594e-06
0.75,dynamic_rj,572,22.88,3.8917348316656932,15.1456,24,0.9718817763255607,1.048951048951049,50.0,50.0,0.00010592620689552147
1.0,fixed_ch,750,30.0,0.0,0,30,1.0,1.0,4.442666666666667,5.442666666666667,4.285284919788766e-06
1.0,fixed_rj,696,27.84,6.874183587888819,47.2544,30,0.9425352660764665,1.0775862068965518,11.554597701149426,11.554597701149426,2.2655077093081894e-05
1.0,dynamic_rj,581,23.24,3.7232244090304305,13.8624,24,0.974975810527836,1.0327022375215147,81.7211703958692,65.66609294320138,0.00011942552239054308
1.5,fixed_ch,750,30.0,0.0,0,30,1.0,1.0,17.142666666666667,18.142666666666667,3.252412889387224e-06
1.5,fixed_rj,723,28.92,5.290897844411664,27.9936,30,0.9676134943773428,1.0373443983402488,36.686030428769016,36.686030428769016,4.157903311135886e-05
1.5,dynamic_rj,584,23.36,3.135346870762468,9.8304,24,0.9823041474654378,1.0273972602739727,146.97260273972603,97.95034246575342,0.00012911074645035751
2.0,fixed_ch,750,30.0,0.0,0,30,1.0,1.0,29.876,30.876,4.150764345341554e-06
2.0,fixed_rj,724,28.96,5.0949386649890105,25.9584,30,0.9699777942264989,1.0359116022099448,62.95580110497237,62.95580110497237,5.533092143807467e-05
2.0,dynamic_rj,585,23.4,2.939387691339814,8.64,24,0.9844660194174757,1.0256410256410258,212.58632478632478,130.43247863247862,0.00014917113052908122
